"Postal code area","Inhabitants, total, 2018 (HE)","Males, 2018 (HE)","Females, 2018 (HE)"
"36110  Ruutana (Kangasala)",2891,1450,1441
"36120  Suinula-Haviseva (Kangasala)",1087,555,532
"36200  Kangasala Keskus (Kangasala)",10204,4978,5226
"36220  Suorama (Kangasala)",5277,2564,2713
"36240  Nattari (Kangasala)",5004,2489,2515
"36270  Huutijärvi (Kangasala)",1402,725,677
"36280  Pikonlinna (Kangasala)",190,86,104
"36340  Tohkala (Kangasala)",228,120,108
"36420  Sahalahti Keskus (Kangasala)",1771,877,894
"36430  Pakkala (Kangasala)",448,233,215
"36450  Salmentaka (Pälkäne)",222,107,115
"36520  Raikku (Kangasala)",352,185,167
"36570  Kaivanto (Kangasala)",298,147,151
"36600  Pälkäne Keskus (Pälkäne)",3400,1671,1729
"36640  Iltasmäki (Pälkäne)",381,199,182
"36660  Laitikkala (Pälkäne)",212,113,99
"36720  Aitoo (Pälkäne)",544,278,266
"36760  Luopioinen Keskus (Pälkäne)",807,399,408
"36810  Kuhmalahti Keskus (Kangasala)",521,258,263
"36840  Kuhmajärvi (Kangasala)",319,159,160
"36880  Vehkajärvi (Kangasala)",133,74,59
"36910  Rautajärvi (Pälkäne)",347,175,172
"36930  Kyynärö (Pälkäne)",174,92,82
"37100  Nokia Keskus (Nokia)",6781,3141,3640
"37120  Koskenmäki (Nokia)",10366,5162,5204
"37130  Alhoniitty (Nokia)",4559,2302,2257
"37140  Harjuniitty (Nokia)",2775,1389,1386
"37150  Kankaantaka (Nokia)",4085,1991,2094
"37180  Sarkola (Nokia)",366,188,178
"37200  Siuro (Nokia)",2518,1308,1210
"37210  Kulovesi (Nokia)",23,...,...
"37240  Linnavuori (Nokia)",754,396,358
"37310  Tottijärvi (Nokia)",872,456,416
"37350  Rämsöö (Vesilahti)",153,86,67
"37370  Narva (Vesilahti)",1026,553,473
"37380  Krääkkiö (Vesilahti)",171,89,82
"37420  Valkkinen (Vesilahti)",782,393,389
"37470  Vesilahti Keskus (Vesilahti)",1973,997,976
"37500  Lempäälä Keskus (Lempäälä)",8440,4038,4402
"37530  Säijä (Lempäälä)",556,294,262
"37550  Kuivaspää (Lempäälä)",5212,2569,2643
"37560  Kulju (Lempäälä)",4627,2348,2279
"37570  Koivuniemi (Lempäälä)",443,231,212
"37600  Valkeakoski Keskus (Valkeakoski)",11360,5572,5788
"37630  Vääräkoivu (Valkeakoski)",7081,3472,3609
"37700  Sääksmäki (Valkeakoski)",443,223,220
"37720  Ritvala (Valkeakoski)",195,102,93
"37740  Haukila (Valkeakoski)",277,142,135
"37770  Tarttila (Valkeakoski)",479,243,236
"37800  Toijala keskus (Akaa)",9300,4612,4688
"37830  Viiala Keskus (Akaa)",5442,2716,2726
"37850  Metsäkansa (Valkeakoski)",348,174,174
"37860  Kärjenniemi (Valkeakoski)",914,458,456
"37900  Kylmäkoski Asemanseutu (Akaa)",283,158,125
"37910  Kylmäkoski Keskus (Akaa)",1275,665,610
"37960  Sotkia (Akaa)",249,128,121
"38100  Karkku (Sastamala)",852,440,412
"38120  Kutala (Sastamala)",237,118,119
"38130  Ellivuori (Sastamala)",13,...,...
"38140  Kärppälä (Sastamala)",360,190,170
"38200  Vammala Keskus (Sastamala)",6286,2833,3453
"38210  Vammala Asemanseutu (Sastamala)",4144,2055,2089
"38220  Stormi (Sastamala)",801,411,390
"38250  Roismala (Sastamala)",1363,721,642
"38270  Sammaljoki (Sastamala)",329,181,148
"38280  Illo (Sastamala)",432,217,215
"38300  Kiikka (Sastamala)",1788,939,849
"38360  Kiikoinen (Sastamala)",1150,597,553
"38420  Häijää (Sastamala)",1027,530,497
"38460  Mouhijärvi Keskus (Sastamala)",1750,876,874
"38470  Hyynilä (Sastamala)",262,137,125
"38490  Haukijärvi (Hämeenkyrö)",77,36,41
"38510  Suodenniemi (Sastamala)",1169,622,547
"38600  Lavia Keskus (Pori)",1441,717,724
"38650  Yli-Putto (Pori)",165,99,66
"38670  Kalliala-Haunia (Pori)",173,89,84
"38680  Tuunajärvi (Pomarkku)",90,52,38
"38700  Kankaanpää Keskus (Kankaanpää)",6149,2906,3243
"38710  Myllymäki (Kankaanpää)",2049,964,1085
"38720  Vihteljärvi (Kankaanpää)",404,209,195
"38740  Hapuoja (Kankaanpää)",402,215,187
"38750  Veneskoski (Kankaanpää)",238,130,108
"38760  Venesjärvi (Kankaanpää)",367,197,170
"38770  Lohikko (Kankaanpää)",421,224,197
"38800  Jämijärvi Keskus (Jämijärvi)",1544,792,752
"38840  Niinisalo (Kankaanpää)",788,433,355
"38860  Suurimaa (Jämijärvi)",197,95,102
"38910  Ala-Honkajoki (Kankaanpää)",535,296,239
"38920  Vatajankoski (Honkajoki)",194,108,86
"38950  Honkajoki Keskus (Honkajoki)",1260,659,601
"38970  Lauhala (Honkajoki)",251,130,121
"39100  Hämeenkyrö Keskus (Hämeenkyrö)",3428,1686,1742
"39110  Simuna (Hämeenkyrö)",221,110,111
"39130  Sasi (Hämeenkyrö)",759,378,381
"39150  Pinsiö (Hämeenkyrö)",879,460,419
"39160  Julkujärvi (Ylöjärvi)",4089,2058,2031
"39170  Jumesniemi (Hämeenkyrö)",189,91,98
"39180  Herttuala (Hämeenkyrö)",100,53,47
"39195  Kaipio (Hämeenkyrö)",165,94,71
"39200  Kyröskoski (Hämeenkyrö)",4800,2404,2396
"39230  Osara (Hämeenkyrö)",198,100,98
"39290  Vesajärvi (Hämeenkyrö)",154,81,73
"39310  Viljakkala Keskus (Ylöjärvi)",1020,531,489
"39340  Karhe (Ylöjärvi)",302,154,148
"39360  Komi (Ylöjärvi)",243,124,119
"39380  Lavajärvi (Hämeenkyrö)",180,90,90
"39410  Luhalahti (Ikaalinen)",301,161,140
"39430  Röyhiö (Ikaalinen)",169,91,78
"39450  Sisättö (Ikaalinen)",118,72,46
"39500  Ikaalinen Keskus (Ikaalinen)",4456,2116,2340
"39530  Kilvakkala (Ikaalinen)",1007,547,460
"39580  Riitiala (Ikaalinen)",382,209,173
"39590  Tevaniemi (Ikaalinen)",239,130,109
"39610  Kovelahti (Ikaalinen)",197,102,95
"39620  Kovesjoki (Parkano)",182,99,83
"39660  Lapinneva (Parkano)",239,135,104
"39700  Parkano Keskus (Parkano)",5347,2681,2666
"39750  Vatajanjärvi (Parkano)",342,189,153
"39770  Aureskoski (Parkano)",66,32,34
"39780  Alaskylä (Parkano)",201,116,85
"39810  Linnankylä (Kihniö)",327,169,158
"39820  Kihniö Keskus (Kihniö)",1475,742,733
"39880  Kihniö Asemanseutu (Kihniö)",135,75,60
"39920  Suomijärvi (Karvia)",162,89,73
"39930  Karvia Keskus (Karvia)",1071,554,517
"39940  Kantti (Karvia)",244,127,117
"39960  Sarvela (Karvia)",435,231,204
"39965  Karviankylä (Karvia)",191,96,95
"39980  Sara (Karvia)",169,89,80
"39990  Alkkia (Karvia)",95,58,37
"40100  Jyväskylä Keskus (Jyväskylä)",14926,6895,8031
"40200  Mannila-Taulumäki (Jyväskylä)",4238,1962,2276
"40250  Ritoniemi-Lohikoski (Jyväskylä)",6077,2963,3114
"40270  Pappilanrinne-Pappilanvuori (Jyväskylä)",12500,6077,6423
"40320  Seppälän Teollisuusalue (Jyväskylä)",5204,2514,2690
"40340  Huhtasuo (Jyväskylä)",6272,3082,3190
"40400  Halssila (Jyväskylä)",4077,1960,2117
"40420  Jyskä (Jyväskylä)",4722,2358,2364
"40500  Keljo-Ristonmaa (Jyväskylä)",3280,1676,1604
"40520  Kuokkala-Ristikivi (Jyväskylä)",16958,8547,8411
"40530  Keljonkangas (Jyväskylä)",6033,3086,2947
"40600  Mattilanpelto (Jyväskylä)",2257,1091,1166
"40620  Keskussairaala-alue-Kukkumäki (Jyväskylä)",488,225,263
"40630  Kypärämäki (Jyväskylä)",3711,1867,1844
"40640  Keltinmäki (Jyväskylä)",6314,3157,3157
"40660  Länsi-Palokka (Jyväskylä)",725,374,351
"40700  Mäki-Matti (Jyväskylä)",5313,2522,2791
"40720  Nisula (Jyväskylä)",2588,1101,1487
"40740  Kortepohja (Jyväskylä)",7605,3731,3874
"40800  Vaajakoski (Jyväskylä)",8064,4010,4054
"40820  Vuoritsalo (Jyväskylä)",912,478,434
"40900  Säynätsalo (Jyväskylä)",3390,1777,1613
"40930  Kinkomaa (Muurame)",1591,799,792
"40950  Muurame Keskus (Muurame)",8116,4093,4023
"41120  Puuppola (Jyväskylä)",1990,1020,970
"41140  Kuikka (Jyväskylä)",651,337,314
"41160  Tikkakoski (Jyväskylä)",4788,2393,2395
"41180  Vehniä (Laukaa)",751,393,358
"41210  Jokihaara (Uurainen)",435,224,211
"41220  Höytiä (Uurainen)",315,164,151
"41230  Uurainen Keskus (Uurainen)",1680,869,811
"41240  Kyynämöinen (Uurainen)",248,144,104
"41260  Hoikankylä (Saarijärvi)",144,72,72
"41270  Lannevesi (Saarijärvi)",493,259,234
"41290  Kangashäkki (Uurainen)",933,474,459
"41310  Leppävesi (Laukaa)",3147,1601,1546
"41325  Laukkavirta (Laukaa)",302,163,139
"41330  Vihtavuori (Laukaa)",2667,1358,1309
"41340  Laukaa Keskus (Laukaa)",5763,2768,2995
"41350  Laukaa Asemanseutu (Laukaa)",734,363,371
"41360  Valkola (Laukaa)",454,232,222
"41370  Kuusa (Laukaa)",1075,570,505
"41390  Äijälä (Laukaa)",413,222,191
"41400  Lievestuore (Laukaa)",3309,1691,1618
"41410  Kankainen (Toivakka)",184,100,84
"41440  Ruuhimäki (Toivakka)",229,126,103
"41450  Leppälahti (Jyväskylä)",650,332,318
"41490  Niemisjärvi (Hankasalmi)",756,397,359
"41500  Hankasalmi Asemanseutu (Hankasalmi)",1341,682,659
"41520  Hankasalmi Keskus (Hankasalmi)",1908,901,1007
"41530  Veneranta (Hankasalmi)",162,81,81
"41540  Ristimäki (Hankasalmi)",230,121,109
"41550  Hannula (Hankasalmi)",158,85,73
"41560  Säkinmäki (Hankasalmi)",146,89,57
"41580  Sauvamäki (Hankasalmi)",254,128,126
"41630  Oravasaari (Jyväskylä)",385,203,182
"41660  Toivakka Keskus (Toivakka)",1863,957,906
"41710  Rutalahti-Kivisuo (Jyväskylä)",259,133,126
"41730  Kivisuo (Joutsa)",29,...,...
"41750  Havumäki (Joutsa)",80,50,30
"41770  Leivonmäki (Joutsa)",595,309,286
"41800  Korpilahti Keskus (Jyväskylä)",3540,1763,1777
"41820  Saakoski (Jyväskylä)",302,162,140
"41840  Moksi (Jyväskylä)",86,47,39
"41860  Rannila (Jyväskylä)",295,151,144
"41870  Putkilahti (Jyväskylä)",166,91,75
"41880  Oittila (Jyväskylä)",118,57,61
"41900  Petäjävesi Keskus (Petäjävesi)",2624,1340,1284
"41920  Kintaus (Petäjävesi)",636,324,312
"41925  Ylä-Kintaus (Petäjävesi)",166,91,75
"41930  Kuohu (Jyväskylä)",816,434,382
"41940  Vesanka (Jyväskylä)",1384,724,660
"41970  Huttula (Keuruu)",49,22,27
"41980  Kuivasmäki (Petäjävesi)",161,85,76
"42100  Jämsä Keskus (Jämsä)",9977,4865,5112
"42140  Juokslahti (Jämsä)",285,143,142
"42220  Kaipola (Jämsä)",1048,540,508
"42300  Jämsänkoski Keskus (Jämsä)",5326,2644,2682
"42330  Haavisto (Jämsä)",401,203,198
"42440  Koskenpää (Jämsä)",617,341,276
"42520  Asunta (Keuruu)",156,86,70
"42560  Pohjoisjärvi (Keuruu)",178,95,83
"42600  Multia Keskus-Väätäiskylä (Multia)",1348,680,668
"42660  Sahrajärvi (Multia)",109,58,51
"42700  Keuruu Keskus (Keuruu)",7605,3679,3926
"42720  Valkealahti (Keuruu)",61,22,39
"42800  Haapamäki (Keuruu)",1127,592,535
"42820  Riiho (Keuruu)",67,39,28
"42830  Ylä-Kolkki (Mänttä-Vilppula)",54,29,25
"42840  Kolkki (Mänttä-Vilppula)",123,73,50
"42850  Pohjaslahti (Mänttä-Vilppula)",134,74,60
"42870  Kotala (Virrat)",418,219,199
"42910  Pihlajavesi (Keuruu)",295,157,138
"42930  Katajamäki (Keuruu)",100,58,42
"43100  Saarijärvi Keskus (Saarijärvi)",6048,2885,3163
"43130  Tarvaala (Saarijärvi)",410,216,194
"43170  Häkkilä (Saarijärvi)",230,133,97
"43220  Mahlu (Saarijärvi)",418,224,194
"43240  Lehtola (Saarijärvi)",165,91,74
"43250  Kolkanlahti (Saarijärvi)",291,153,138
"43270  Kalmari (Saarijärvi)",490,281,209
"43300  Kannonkoski Keskus (Kannonkoski)",1134,568,566
"43340  Kannonjärvi (Kannonkoski)",162,86,76
"43390  Lokakylä (Kivijärvi)",76,38,38
"43420  Kukko (Saarijärvi)",53,26,27
"43430  Väätäiskylä (Multia)",40,23,17
"43440  Pylkönmäki Keskus (Saarijärvi)",491,252,239
"43480  Pääjärvi (Saarijärvi)",134,75,59
"43490  Kangasaho (Karstula)",150,80,70
"43500  Karstula Keskus (Karstula)",2785,1337,1448
"43520  Kiminki (Karstula)",223,122,101
"43540  Rantakylä-Pirttilahti (Karstula)",141,76,65
"43560  Vahanka (Karstula)",172,94,78
"43610  Aho (Karstula)",84,39,45
"43640  Humppi (Karstula)",137,72,65
"43660  Vastinki (Karstula)",223,108,115
"43700  Kyyjärvi Keskus (Kyyjärvi)",1198,612,586
"43720  Kumpulainen (Kyyjärvi)",104,53,51
"43800  Kivijärvi Keskus-Sompala (Kivijärvi)",954,508,446
"43840  Sompala (Kivijärvi)",46,23,23
"43900  Kinnula Keskus (Kinnula)",1323,705,618
"43940  Muhola-Saarensalmi (Kinnula)",232,138,94
"43960  Saarensalmi (Kinnula)",59,30,29
"44100  Äänekoski Keskus (Äänekoski)",4133,1914,2219
"44120  Mämmensalmi-Mustaniemi (Äänekoski)",2503,1281,1222
"44150  Likolahti-Karhunlähde (Äänekoski)",3211,1604,1607
"44160  Huutomäki (Äänekoski)",507,270,237
"44170  Hietama (Äänekoski)",512,282,230
"44190  Parantala (Äänekoski)",239,120,119
"44200  Suolahti Keskus (Äänekoski)",4295,2169,2126
"44220  Sörkänmäki (Äänekoski)",401,219,182
"44250  Äänekoivisto (Äänekoski)",574,298,276
"44260  Vihijärvi (Äänekoski)",277,146,131
"44280  Sumiainen Keskus (Äänekoski)",848,424,424
"44300  Konnevesi Keskus (Konnevesi)",1751,860,891
"44320  Sirkkamäki (Konnevesi)",129,68,61
"44330  Hytölä (Konnevesi)",273,143,130
"44350  Istunmäki (Konnevesi)",361,207,154
"44370  Mäntymäki (Konnevesi)",163,83,80
"44400  Konginkangas Keskus (Äänekoski)",666,342,324
"44420  Liimattala (Äänekoski)",342,194,148
"44440  Räihä (Äänekoski)",107,61,46
"44460  Kalaniemi (Äänekoski)",127,73,54
"44480  Niinilahti (Viitasaari)",146,80,66
"44500  Viitasaari Keskus (Viitasaari)",4126,1940,2186
"44530  Ilmolahti (Viitasaari)",167,88,79
"44580  Huopanankoski (Viitasaari)",206,110,96
"44590  Vuorilahti (Viitasaari)",66,35,31
"44610  Kärnä (Viitasaari)",150,81,69
"44630  Kumpumäki (Viitasaari)",170,96,74
"44640  Kymönkoski (Viitasaari)",349,180,169
"44670  Suovanlahti (Viitasaari)",152,84,68
"44680  Lahnanen (Viitasaari)",56,31,25
"44730  Löytänä (Viitasaari)",95,45,50
"44740  Keitelepohja-Kotvala (Viitasaari)",197,105,92
"44760  Keihärinkoski (Viitasaari)",299,158,141
"44770  Valkeisjärvi (Viitasaari)",11,...,...
"44790  Kotvala (Viitasaari)",43,27,16
"44800  Pihtipudas Keskus (Pihtipudas)",2437,1135,1302
"44860  Alvajärvi (Pihtipudas)",220,105,115
"44880  Muurasjärvi (Pihtipudas)",579,299,280
"44910  Elämäjärvi (Pihtipudas)",218,125,93
"44920  Peninki (Pihtipudas)",205,105,100
"44950  Kärväsjärvi (Pihtipudas)",185,110,75
"44970  Korppinen (Pihtipudas)",170,92,78
"45100  Kouvola Keskus (Kouvola)",9368,4263,5105
"45120  Kotkankallio-Vahteronmäki (Kouvola)",3955,1935,2020
"45130  Korjala-Kaunisnurmi (Kouvola)",1725,820,905
"45150  Kankaronmäki-Eskolanmäki (Kouvola)",4770,2307,2463
"45160  Lehtomäki (Kouvola)",5031,2492,2539
"45200  Tornionmäki (Kouvola)",5929,2848,3081
"45330  Harju (Kouvola)",305,153,152
"45360  Kukkuramäki (Kouvola)",3764,1881,1883
"45370  Valkeala kk (Kouvola)",2698,1330,1368
"45410  Utti (Kouvola)",812,437,375
"45460  Savero (Kouvola)",184,96,88
"45610  Koria (Kouvola)",4964,2495,2469
"45700  Kuusankoski Keskus (Kouvola)",8828,4042,4786
"45720  Kotiharju-Puhjonmäki (Kouvola)",2644,1389,1255
"45740  Maunuksela (Kouvola)",2732,1377,1355
"45750  Kuusankosken Sairaala-alue (Kouvola)",67,41,26
"45810  Pilkanmaa (Kouvola)",1499,782,717
"45910  Voikkaa (Kouvola)",2623,1366,1257
"45940  Oravala (Kouvola)",285,154,131
"46110  Tuohikotti (Kouvola)",358,189,169
"46140  Vekaranjärvi (Kouvola)",140,82,58
"46230  Aro (Kouvola)",491,263,228
"46400  Kaipiainen (Kouvola)",463,241,222
"46430  Tirva-Inkerilä (Kouvola)",263,141,122
"46450  Enäjärvi (Kouvola)",164,87,77
"46530  Kannuskoski (Luumäki)",160,86,74
"46570  Saaramaa (Kouvola)",36,22,14
"46710  Sippola (Kouvola)",744,379,365
"46730  Ruotila (Kouvola)",111,62,49
"46750  Liikkala (Kouvola)",278,148,130
"46800  Myllykoski (Kouvola)",4636,2263,2373
"46810  Ummeljoki (Kouvola)",1407,722,685
"46860  Anjalankoski Keskus (Kouvola)",575,295,280
"46900  Inkeroinen (Kouvola)",3553,1774,1779
"46910  Anjala (Kouvola)",1858,925,933
"46930  Huruksela (Kotka)",217,112,105
"46950  Ahvio (Kouvola)",57,30,27
"46960  Muhniemi (Kouvola)",317,170,147
"47110  Löytty (Kouvola)",88,47,41
"47150  Raussila (Kouvola)",148,83,65
"47200  Elimäki kk (Kouvola)",2273,1100,1173
"47260  Ratula (Kouvola)",127,75,52
"47310  Haapa-Kimola (Iitti)",245,131,114
"47350  Kimonkylä (Lapinjärvi)",133,65,68
"47400  Kausala (Iitti)",4595,2240,2355
"47440  Sääskjärvi (Iitti)",141,74,67
"47450  Perheniemi (Iitti)",267,140,127
"47460  Hiisiö (Iitti)",63,35,28
"47490  Mankala-Hiisiö (Iitti)",319,165,154
"47520  Iitti kk (Iitti)",171,85,86
"47540  Löyttilä (Iitti)",174,91,83
"47610  Kymentaka (Iitti)",130,64,66
"47650  Kimola (Kouvola)",199,106,93
"47710  Jaala kk (Kouvola)",1092,545,547
"47760  Huhdasjärvi (Kouvola)",120,62,58
"47810  Selänpää (Kouvola)",290,155,135
"47830  Hasula (Kouvola)",110,57,53
"47850  Verla (Kouvola)",140,75,65
"47900  Vuohijärvi (Kouvola)",243,137,106
"47910  Hillosensalmi (Kouvola)",26,...,...
"48100  Kotkansaari (Kotka)",10383,4745,5638
"48130  Katariina (Kotka)",706,377,329
"48200  Hovinsaari (Kotka)",1674,847,827
"48210  Toukolan Sairaala-Alue (Kotka)",276,128,148
"48220  Metsola (Kotka)",1324,674,650
"48230  Korela-Jylppy (Kotka)",1431,784,647
"48300  Ruonala (Kotka)",1240,628,612
"48310  Mussalo (Kotka)",4502,2215,2287
"48350  Karhuvuori (Kotka)",3450,1698,1752
"48400  Sutela (Kotka)",4129,2054,2075
"48410  Kaukola (Kotka)",1652,830,822
"48600  Karhula (Kotka)",7043,3313,3730
"48700  Kyminlinna (Kotka)",2414,1162,1252
"48710  Koivula (Kotka)",1298,674,624
"48720  Kymi (Kotka)",1755,932,823
"48750  Nikeli (Kotka)",182,93,89
"48770  Ristinkallio (Kotka)",1815,942,873
"48800  Otsola-Mäntykangas (Kotka)",2215,1124,1091
"48810  Rantahaka (Kotka)",760,405,355
"48900  Sunila (Kotka)",1343,724,619
"48910  Suulisniemi (Kotka)",1415,720,695
"48930  Tiutinen (Kotka)",323,169,154
"49200  Heinlahti (Pyhtää)",812,402,410
"49210  Huutjärvi (Pyhtää)",998,472,526
"49220  Siltakylä (Pyhtää)",1737,869,868
"49240  Purolanlahti (Pyhtää)",355,173,182
"49270  Pyhtää kk (Pyhtää)",826,419,407
"49290  Vastila (Pyhtää)",411,209,202
"49300  Tavastila (Kotka)",684,361,323
"49340  Juurikorpi (Kotka)",116,68,48
"49400  Hamina Keskus (Hamina)",9857,4690,5167
"49410  Poitsila (Hamina)",1905,961,944
"49420  Uusi-Summa (Hamina)",1950,994,956
"49460  Hillo (Hamina)",1148,598,550
"49480  Vanha-Summa (Hamina)",443,242,201
"49490  Neuvoton (Hamina)",1410,691,719
"49510  Husula (Hamina)",1157,586,571
"49520  Reitkalli (Hamina)",261,133,128
"49540  Metsäkylä (Hamina)",464,253,211
"49570  Kannusjärvi (Hamina)",411,211,200
"49610  Sivatti (Hamina)",106,55,51
"49630  Vehkajoki (Hamina)",109,60,49
"49640  Paijärvi (Hamina)",169,87,82
"49660  Pyhältö (Hamina)",541,289,252
"49700  Miehikkälä Kirkonkylä (Miehikkälä)",854,415,439
"49720  Hurttala (Miehikkälä)",56,28,28
"49730  Muurikkala (Miehikkälä)",293,148,145
"49750  Kalliokoski (Miehikkälä)",143,67,76
"49760  Suur-Miehikkälä (Miehikkälä)",197,112,85
"49770  Salo-Miehikkälä (Miehikkälä)",213,111,102
"49780  Onkamaa (Hamina)",89,55,34
"49840  Mäntlahti (Hamina)",131,75,56
"49860  Klamila (Virolahti)",664,351,313
"49900  Virolahti Keskus (Virolahti)",1820,914,906
"49930  Vaalimaa (Virolahti)",157,77,80
"49960  Ala-Pihlaja (Virolahti)",194,106,88
"49980  Ravijoki (Virolahti)",255,134,121
"50100  Mikkeli Keskus (Mikkeli)",9606,4264,5342
"50120  Siekkilä (Mikkeli)",1501,750,751
"50130  Nuijamies (Mikkeli)",2979,1408,1571
"50150  Karkialampi (Mikkeli)",1393,715,678
"50160  Kattilansilta (Mikkeli)",2361,1139,1222
"50170  Peitsari (Mikkeli)",5802,2844,2958
"50180  Visulahti (Mikkeli)",824,420,404
"50190  Tuppurala (Mikkeli)",4845,2305,2540
"50200  Kovala (Mikkeli)",618,329,289
"50300  Rämälä (Mikkeli)",329,170,159
"50350  Norola (Mikkeli)",320,165,155
"50500  Tuukkala-Kaituenmäki (Mikkeli)",1506,754,752
"50520  Moision Sairaala-alue (Mikkeli)",122,61,61
"50600  Karikko (Mikkeli)",4741,2358,2383
"50670  Otava (Mikkeli)",1843,952,891
"50700  Syysjärvi (Mikkeli)",670,337,333
"50770  Korpikoski (Mikkeli)",247,127,120
"50800  Annilanselkä (Mikkeli)",538,274,264
"50970  Ihastjärvi (Mikkeli)",2487,1257,1230
"51130  Vanhamäki (Mikkeli)",156,91,65
"51200  Kangasniemi Keskus (Kangasniemi)",3799,1854,1945
"51260  Tahkomäki (Kangasniemi)",160,92,68
"51270  Kutemajärvi (Kangasniemi)",205,109,96
"51310  Levä (Kangasniemi)",133,75,58
"51335  Kaihlamäki (Kangasniemi)",46,22,24
"51340  Hännilä-Särkiharju (Kangasniemi)",282,151,131
"51360  Koivula-Synsiö (Kangasniemi)",178,99,79
"51380  Synsiö (Kangasniemi)",47,26,21
"51420  Harjumaa-Pajulankylä (Mikkeli)",219,119,100
"51430  Läsäkoski (Kangasniemi)",80,41,39
"51440  Vuojalahti (Kangasniemi)",240,132,108
"51450  Pajulankylä (Mikkeli)",50,26,24
"51460  Luusniemi (Kangasniemi)",201,111,90
"51520  Hiirola (Mikkeli)",421,214,207
"51540  Kalvitsa (Mikkeli)",324,173,151
"51600  Haukivuori Keskus-Piitkäaho (Mikkeli)",1381,667,714
"51620  Pitkäaho (Mikkeli)",18,...,...
"51670  Nykälä (Mikkeli)",135,66,69
"51720  Rahula (Mikkeli)",484,254,230
"51740  Huuhanaho (Mikkeli)",212,117,95
"51760  Nuutilanmäki (Juva)",283,150,133
"51780  Kuosmala (Juva)",126,72,54
"51810  Maivala (Juva)",143,76,67
"51820  Hatsola (Juva)",269,140,129
"51850  Vuorenmaa (Juva)",187,104,83
"51860  Narila (Juva)",68,39,29
"51880  Koikkala (Juva)",232,124,108
"51890  Risulahti (Juva)",78,37,41
"51900  Juva Keskus (Juva)",4297,2072,2225
"51930  Paatela (Juva)",165,93,72
"51940  Härkälä (Juva)",119,70,49
"51980  Lauteala (Juva)",227,130,97
"52100  Anttola (Mikkeli)",1430,702,728
"52110  Majavesi (Mikkeli)",405,219,186
"52150  Hauhala (Mikkeli)",130,70,60
"52200  Puumala Keskus (Puumala)",1800,901,899
"52230  Hurissalo (Puumala)",221,114,107
"52270  Ryhälä (Puumala)",39,18,21
"52300  Ristiina Keskus (Mikkeli)",2898,1395,1503
"52320  Vitsiälä (Mikkeli)",355,176,179
"52330  Heimari (Mikkeli)",49,29,20
"52340  Hangastenmaa (Mikkeli)",200,107,93
"52360  Someenjärvi (Mikkeli)",92,56,36
"52420  Pellosniemi (Mikkeli)",615,343,272
"52510  Hietanen (Hirvensalmi)",503,276,227
"52520  Syväsmäki (Hirvensalmi)",154,81,73
"52550  Hirvensalmi Keskus (Hirvensalmi)",1476,749,727
"52610  Tuukkalanlahti (Hirvensalmi)",115,58,57
"52620  Kuitula (Hirvensalmi)",93,53,40
"52700  Mäntyharju Keskus (Mäntyharju)",4817,2336,2481
"52720  Karankamäki-Koirakivi (Mäntyharju)",110,57,53
"52730  Koirakivi (Mäntyharju)",74,33,41
"52740  Tuustaipale (Mäntyharju)",281,151,130
"52760  Mynttilä (Mäntyharju)",88,46,42
"52780  Kuomiokoski (Mikkeli)",94,51,43
"52830  Suomenniemi (Mikkeli)",595,309,286
"52850  Halmeniemi (Mäntyharju)",120,68,52
"52890  Käävänkylä (Mäntyharju)",90,47,43
"52920  Voikoski (Kouvola)",128,66,62
"52960  Nurmaa (Mäntyharju)",118,58,60
"52970  Pankalahti-Ahvenainen (Mäntyharju)",81,52,29
"52980  Ahvenainen (Heinola)",75,40,35
"53100  Lappeenranta keskus (Lappeenranta)",10498,4558,5940
"53130  Keskussairaala-alue-Kimpinen (Lappeenranta)",687,327,360
"53200  Kaukas-Tirilä (Lappeenranta)",1506,727,779
"53300  Lauritsala-Mälkiä (Lappeenranta)",7791,3882,3909
"53400  Laihia (Lappeenranta)",1905,979,926
"53420  Mustola (Lappeenranta)",574,286,288
"53500  Parkkarila-Harapainen-Reijola (Lappeenranta)",5062,2568,2494
"53550  Kourulanmäki (Lappeenranta)",1280,620,660
"53600  Kesämäki (Lappeenranta)",2552,1131,1421
"53650  Mattila-Kuusela (Lappeenranta)",2013,1035,978
"53810  Kuusimäki-Lavola (Lappeenranta)",3877,1930,1947
"53830  Rutola (Lappeenranta)",723,369,354
"53850  Skinnarila (Lappeenranta)",11253,6046,5207
"53900  Pallo-Tysterniemi-Leiri (Lappeenranta)",3029,1434,1595
"53920  Voisalmi (Lappeenranta)",3083,1510,1573
"53950  Kivisalmi (Lappeenranta)",2055,1020,1035
"54100  Joutseno Keskus (Lappeenranta)",5254,2591,2663
"54110  Lampikangas (Lappeenranta)",1080,540,540
"54120  Pulp (Lappeenranta)",1729,903,826
"54190  Konnunsuo (Lappeenranta)",77,42,35
"54230  Nuijamaa (Lappeenranta)",627,330,297
"54250  Rapattila (Lappeenranta)",168,87,81
"54260  Hanhijärvi (Lappeenranta)",788,406,382
"54270  Vainikkala (Lappeenranta)",447,245,202
"54300  Vilkjärvi (Lappeenranta)",605,317,288
"54310  Hytti (Lappeenranta)",428,229,199
"54330  Simola (Lappeenranta)",405,214,191
"54390  Pulsa (Lappeenranta)",141,80,61
"54410  Ylämaa Keskus (Lappeenranta)",900,457,443
